country_name,country_code,indicator_name,indicator_code, debt 
Chad,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 27,473,204.10 "
China,CHN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 9,148,170,156.00 "
China,CHN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 3,079,501,272.00 "
China,CHN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Colombia,COL,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,548,465,448.00 "
Colombia,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 601,922,145.00 "
Comoros,COM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 4,792,269.10 "
Comoros,COM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 13,460,035.40 "
Comoros,COM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 937,189.90 "
"Congo, Dem. Rep.",COD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
"Congo, Dem. Rep.",,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
"Congo, Dem. Rep.",COD,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
"Congo, Rep.",COG,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 247,432,137.70 "
"Congo, Rep.",COG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Costa Rica,CRI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Costa Rica,CRI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 119,280,783.40 "
Cote d'Ivoire,CIV,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,081,936,423.00 "
Djibouti,DJI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 83,058,188.30 "
Djibouti,DJI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 176,522,478.20 "
Dominica,DMA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 19,617,422.90 "
Dominica,DMA,"PPG, official creditors (DIS, current US$)",yes," 17,673,239.00 "
Dominica,DMA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Dominican Republic,DOM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 497,486,213.20 "
Dominican Republic,DOM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Ecuador,ECU,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,756,812,537.00 "
Ecuador,ECU,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 759,499,884.10 "
Ecuador,ECU,"PPG, official creditors (INT, current US$)",yes," 662,111,365.30 "
"Egypt, Arab Rep.",EGY,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 9,374,088,399.00 "
"Egypt, Arab Rep.",EGY,"PPG, official creditors (DIS, current US$)",yes," 9,355,743,702.00 "
,SLV,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 345,120,414.30 "
El Salvador,SLV,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 173,506,971.00 "
El Salvador,SLV,"PPG, official creditors (INT, current US$)",yes," 121,575,522.40 "
Eritrea,ERI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 31,110,077.80 "
Eritrea,ERI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 7,203,213.60 "
Eritrea,ERI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 5,681,011.10 "
Eswatini,,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 39,716,640.10 "
Eswatini,SWZ,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 106,108,147.60 "
Eswatini,SWZ,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 10,852,731.10 "
Ethiopia,ETH,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 682,332,089.60 "
Ethiopia,ETH,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 2,486,550,685.00 "
Ethiopia,ETH,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 426,623,028.40 "
Georgia,GEO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 207,893,813.60 "
Fiji,FJI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 46,465,319.20 "
Fiji,FJI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 66,510,192.60 "
Fiji,FJI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 14,648,526.50 "
Gabon,GAB,"PPG, official creditors (AMT, current US$)",yes," 177,101,208.30 "
Gabon,GAB,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 501,209,967.00 "
Gabon,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 51,418,816.10 "
"Gambia, The",GMB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 46,246,425.80 "
"Gambia, The",GMB,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 89,552,885.90 "
"Gambia, The",GMB,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 8,394,040.30 "
Georgia,GEO,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 2,498,637,343.00 "
Ghana,GHA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 996,094,041.80 "
Ghana,GHA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,327,873,653.00 "
Ghana,GHA,"PPG, official creditors (INT, current US$)",yes," 162,083,889.80 "
Grenada,GRD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 25,379,999.00 "
,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 41,250,138.30 "
Guatemala,GTM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 381,560,688.30 "
Guatemala,GTM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 129,614,814.90 "
Guatemala,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 136,398,794.00 "
Guinea,GIN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 38,651,781.90 "
Guinea,GIN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 175,441,526.20 "
Guinea,GIN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 10,800,027.90 "
Guinea-Bissau,GNB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 6,783,629.10 "
Guinea-Bissau,GNB,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 48,265,990.20 "
Guinea-Bissau,GNB,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 1,462,857.50 "
Guyana,GUY,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 56,410,332.20 "
Guyana,GUY,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 93,057,520.10 "
Guyana,GUY,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 18,348,299.50 "
Haiti,HTI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 61,444,338.40 "
Haiti,HTI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 12,695,243.10 "
Honduras,HND,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 184,115,800.60 "
Honduras,HND,"PPG, official creditors (DIS, current US$)",yes," 260,558,926.30 "
Honduras,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 126,526,602.30 "
IDA only,IDX,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 11,157,576,571.00 "
,IDX,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 33,258,230,167.00 "
IDA only,IDX,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 4,106,854,487.00 "
